date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MzWarMarszal,PdBialWaszyn,PmGdaLeczk08,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczAndr01
160330,08:00,18.5384,17.0,43.542,15.0812,11.0,10.175,11.5854,14.2355,11.09,11.9148
160330,16:00,12.2018,15.0,8.60253,12.2624,18.0,8.47306,7.13798,8.19889,19.2963,10.762
160331,00:00,11.7867,7.0,59.6247,27.7136,16.0,7.55556,62.5729,25.8572,21.3,4.71589
160331,08:00,22.0493,18.0,68.1711,23.2244,36.0,7.50306,23.853,18.4111,17.25,11.3466
160331,16:00,26.8868,21.0,19.5832,28.0268,10.0,5.08167,20.8237,,13.3826,5.47307
160401,00:00,27.0025,36.0,39.362,29.4884,23.0,12.6383,35.3445,,22.56,24.1744
160401,08:00,12.7327,6.0,40.9801,15.7076,15.0,7.08694,25.9494,,16.7,14.1145
160401,16:00,18.5474,11.0,19.2753,9.4436,9.0,7.21639,18.4376,5.10443,5.30819,2.96496
160402,00:00,46.8405,10.0,71.1317,9.3392,9.0,4.53111,76.9071,3.58256,2.78,41.4029
160402,08:00,36.7999,,77.1432,20.7188,7.0,7.4625,94.3297,18.3044,57.95,17.9944
160402,16:00,16.5223,,11.1225,11.4272,6.0,6.10083,9.20531,3.29748,14.0463,5.95906
160403,00:00,36.7064,,40.9661,68.012,43.0,15.2614,38.9344,56.2406,4.24,18.7767
160403,08:00,43.3312,,55.2202,23.12,32.0,11.19,28.7335,18.0777,24.55,20.9698
160403,16:00,11.4159,,15.7653,13.3064,3.0,12.2,8.92662,9.19124,18.6132,19.9251
160404,00:00,41.5417,22.0,55.8975,26.5652,32.0,46.0019,49.5173,17.3407,32.48,28.7263
160404,08:00,35.7383,27.0,73.3853,37.6316,33.0,28.0061,23.5239,20.9672,49.38,30.3423
160404,16:00,24.5926,18.0,17.4457,21.032,9.0,19.5361,12.4684,4.60708,26.7767,22.9377
160405,00:00,61.5412,23.0,63.7918,36.7964,27.0,39.3064,45.0652,19.1142,46.22,42.3385
160405,08:00,60.6364,40.0,74.028,35.8568,25.0,19.1385,46.5987,19.1674,60.09,58.3465
160405,16:00,23.8954,18.0,14.9445,31.472,25.0,20.7111,12.4938,13.9858,43.0096,24.9543
160406,00:00,39.1498,65.0,75.5437,64.7756,31.0,35.2592,21.0127,29.4659,59.86,36.839
160406,08:00,16.5008,19.0,54.7758,50.264,36.0,4.3925,17.601,37.7046,30.9,8.94156
160406,16:00,18.9505,12.0,34.5812,24.5816,13.0,2.73361,10.2344,9.20208,19.7851,24.4057
160407,00:00,36.3488,30.0,68.0794,40.6592,25.0,10.0286,49.7759,19.87,31.79,13.9844
160407,08:00,23.6699,34.0,70.3168,29.6972,31.0,12.8175,44.6931,33.0907,26.05,4.04986
160407,16:00,7.30637,13.0,21.8597,14.9768,12.0,7.22167,16.787,13.0631,18.5151,8.47059
160408,00:00,15.8008,23.0,51.172,29.4884,24.0,9.9725,45.1556,13.9628,16.38,7.35134
160408,08:00,27.0957,10.0,62.108,24.3728,37.0,16.1881,15.892,16.0561,14.5,13.8385
160408,16:00,13.7663,15.0,32.0709,22.1804,22.0,4.49222,15.8065,7.89956,9.55667,11.1743
160409,00:00,20.4144,24.0,26.8386,26.4608,11.0,11.8044,24.7951,109.18,19.59,42.7801
160409,08:00,20.0212,14.0,31.4745,16.5428,9.0,20.8878,9.51053,16.924,24.27,25.4992
160409,16:00,24.8379,15.0,33.978,15.9164,12.0,5.51917,21.9293,16.2054,16.5927,12.1525
160410,00:00,33.7082,,36.6874,21.6584,12.0,10.1094,21.8087,11.739,15.44,18.1544
160410,08:00,20.72,,33.6174,16.5428,12.0,3.2125,32.5578,8.80774,11.47,16.2774
160410,16:00,20.1658,17.0,52.8961,19.8836,14.0,4.48889,28.6912,9.02876,8.41622,5.4407
160411,00:00,17.3101,9.0,46.4675,10.9052,11.0,4.1225,33.4877,13.8456,9.42,7.76023
160411,08:00,23.6427,12.0,45.3503,12.68,13.0,4.24222,36.856,8.71768,11.77,7.08428
160411,16:00,26.5252,20.0,64.1294,23.7464,26.0,4.60583,29.1244,10.8769,8.27889,6.73571
160412,00:00,44.2167,23.0,92.4494,21.032,,4.55722,70.5029,11.1526,12.69,11.2416
160412,08:00,47.8175,32.0,39.666,30.1148,,8.10111,58.9699,7.27807,17.5,
160412,16:00,40.3595,34.0,49.9211,44.7308,20.0,6.75833,40.3792,17.6223,22.8244,29.4609
160413,00:00,66.5644,44.0,87.0501,46.8188,30.0,17.7508,54.8162,28.8158,43.64,32.1435
160413,08:00,67.7524,40.0,61.9244,60.2864,30.0,14.3117,25.9082,31.003,44.87,35.1548
160413,16:00,17.5866,17.0,21.4481,47.132,43.0,5.79722,12.1698,15.2513,31.0547,53.583
160414,00:00,41.5102,49.0,68.3952,63.6272,41.0,6.92444,66.5772,11.8602,26.69,18.4942
160414,08:00,13.175,23.0,69.303,16.5428,11.0,5.67417,41.2429,10.6563,28.42,19.5372
160414,16:00,18.6443,,45.0841,18.422,11.0,4.50639,22.5969,7.57572,14.9192,14.4943
160415,00:00,19.9411,,32.9641,19.6748,29.0,1.435,18.6246,4.43155,12.16,21.6707
160415,08:00,29.1829,25.0,51.2751,18.3176,16.0,6.78389,32.8495,6.84567,16.82,34.9601
160415,16:00,18.5628,8.0,22.7259,23.2244,15.0,5.05889,11.4718,5.22049,13.0511,15.2885
160416,00:00,18.1772,24.0,28.5885,24.9992,52.0,16.8681,16.5178,20.4739,11.59,9.7046
160416,08:00,15.5422,20.0,32.3858,34.2908,22.0,7.63528,18.2,21.7985,12.78,15.6116
160416,16:00,21.1517,22.0,13.5815,15.29,10.0,8.85333,12.4767,8.78164,7.40297,6.52024
160417,00:00,28.1103,29.0,53.0808,32.516,10.0,6.01778,40.1061,16.1526,12.58,6.62506
160417,08:00,28.5648,31.0,56.0899,38.3624,29.0,9.15167,12.1594,11.9453,9.98,8.27701
160417,16:00,8.10611,13.0,14.5022,19.1528,5.0,6.02861,12.0554,10.7555,9.23458,6.00953
160418,00:00,12.5654,14.0,23.5633,18.1088,15.0,3.48472,10.7249,17.6629,10.96,10.3231
160418,08:00,,4.0,16.8539,10.592,17.0,5.79,15.8423,6.73769,12.65,5.84471
160418,16:00,8.86765,5.0,22.9733,7.6688,7.0,2.99389,10.238,7.38099,9.88389,4.68502
160419,00:00,32.8179,17.0,68.8205,22.4936,16.0,4.79444,38.4031,9.76488,10.51,13.9915
160419,08:00,19.0563,11.0,81.0014,19.2572,16.0,3.71444,35.1551,7.93699,15.12,4.68219
160419,16:00,11.9089,1.0,30.6241,22.3892,23.0,6.81167,18.2856,7.33964,14.1035,32.1973
160420,00:00,14.6847,13.0,39.6773,9.548,17.0,5.86778,17.8091,3.74359,11.53,3.71465
160420,08:00,7.45921,8.0,19.0615,11.5316,9.0,7.72639,13.2938,1.18142,10.81,6.20552
160420,16:00,14.634,6.0,11.8139,6.2072,7.0,5.55861,10.2448,1.7497,12.8423,4.45428
160421,00:00,27.156,12.0,46.7153,14.9768,11.0,6.30056,29.4238,8.60216,10.01,3.38738
160421,08:00,20.1199,28.0,39.6023,21.032,9.0,5.54972,23.2613,19.3111,17.66,13.3162
160421,16:00,9.1216,14.0,14.6837,13.202,8.0,5.645,12.7723,6.90036,8.80861,
160422,00:00,29.1339,24.0,61.7265,21.032,15.0,5.1475,25.2794,10.4895,12.57,7.65674
160422,08:00,13.186,16.0,40.3788,14.246,12.0,7.885,10.3629,7.35335,7.86,
160422,16:00,5.36789,7.0,11.8359,8.0864,4.0,3.68972,7.50676,0.76714,7.23656,
160423,00:00,45.6973,27.0,56.4617,21.2408,13.0,6.14556,41.8154,16.3496,10.76,33.9978
160423,08:00,46.374,33.0,61.1286,27.4004,12.0,2.72583,29.4502,9.77407,37.72,7.83936
160423,16:00,12.4959,8.0,16.3911,12.8888,9.0,4.29361,14.6388,8.59775,17.18,2.15391
160424,00:00,9.45784,19.0,52.7877,20.7188,17.0,13.1928,30.3085,10.1233,6.06,4.49841
160424,08:00,11.3101,5.0,6.90422,5.4764,9.0,5.92083,15.4554,5.23513,8.62,2.77228
160424,16:00,8.37479,6.0,17.0275,8.9216,6.0,4.61028,8.29683,8.83669,6.155,1.62962
160425,00:00,20.1466,21.0,36.4167,10.6964,9.0,11.5967,23.0088,9.95787,4.24,19.5904
160425,08:00,16.8525,20.0,31.487,21.554,11.0,3.49972,15.1523,18.4127,13.06,9.86087
160425,16:00,9.77867,8.0,14.9895,11.4272,10.0,7.12833,10.8833,8.93778,10.0625,3.19721
160426,00:00,31.4775,24.0,69.5494,17.4824,9.0,11.5992,65.9284,9.95732,6.0,5.43433
160426,08:00,15.377,19.0,45.8773,32.9336,6.0,28.0569,26.1823,30.176,15.3,20.1141
160426,16:00,10.094,15.0,9.13827,11.4272,8.0,11.9647,5.63161,8.19458,10.07,3.52022
160427,00:00,26.0496,9.0,22.2358,16.334,36.0,3.45167,16.3502,14.2604,7.71,7.42456
160427,08:00,18.2121,4.0,29.3651,11.7404,22.0,10.9411,9.68408,10.7264,12.68,8.81627
160427,16:00,14.6649,14.0,20.698,13.9328,16.0,8.7575,15.8821,9.321,10.8325,3.81175
160428,00:00,20.7093,26.0,29.7518,11.114,25.0,17.5608,30.6362,15.1835,16.72,11.7018
160428,08:00,13.3629,15.0,26.7401,24.9992,2.0,5.26861,15.9871,18.1771,12.1,16.8951
160428,16:00,10.7176,8.0,8.17503,11.114,5.0,5.50111,9.29779,10.2427,13.15,6.66432
160429,00:00,22.5589,24.0,13.8339,16.9604,66.0,8.24361,45.0882,16.3817,8.9,1.73622
160429,08:00,32.4452,21.0,35.472,16.2296,22.0,17.5525,27.47,14.6172,22.09,
160429,16:00,6.70096,12.0,15.968,14.3504,11.0,9.75889,10.5641,10.3163,9.39,
160430,00:00,45.5109,18.0,64.8807,29.2796,44.0,11.2425,44.064,21.381,13.63,
160430,08:00,28.5436,22.0,38.0678,30.6368,20.0,12.6808,27.5379,21.1762,19.04,
160430,16:00,11.9414,9.0,20.6091,16.2296,11.0,10.7953,15.5438,8.62302,7.01,
160501,00:00,21.6641,39.0,42.6292,22.7024,24.0,9.87944,23.8081,20.9474,17.89,
160501,08:00,21.6958,33.0,45.2321,31.1588,24.0,9.89917,23.9031,15.7277,22.73,
160501,16:00,14.2296,14.0,20.456,15.4988,10.0,7.87889,11.5578,6.83556,12.0975,
160502,00:00,36.5175,24.0,25.4321,26.6696,33.0,10.6908,18.4508,12.7394,13.8,
160502,08:00,16.9791,15.0,20.3573,26.1476,17.0,8.16306,10.9869,13.3346,11.52,
160502,16:00,9.15043,10.0,19.5924,20.6144,6.0,5.49778,17.2178,9.93756,8.3475,0.89746
160503,00:00,26.2193,21.0,17.4923,25.5212,32.0,12.8836,17.4705,14.3111,14.79,58.5069
160503,08:00,31.3328,5.0,17.7211,19.5704,15.0,8.05722,16.2393,15.4128,16.14,19.9147
160503,16:00,9.19291,2.0,19.0201,14.3504,5.0,7.31417,15.5296,10.6994,8.28,5.21933
160504,00:00,12.8659,14.0,26.556,22.076,15.0,10.0258,23.6045,10.601,9.46,5.74276
160504,08:00,13.2127,11.0,44.7211,31.2632,19.0,5.315,18.676,14.1771,8.86,4.75831
160504,16:00,7.62957,10.0,22.9019,15.812,6.0,14.0278,14.7917,6.21793,9.26361,1.0
160505,00:00,14.1776,17.0,41.3803,14.5592,12.0,4.8675,24.6786,7.2705,8.9,12.2094
160505,08:00,13.5179,6.0,33.4189,25.73,13.0,11.5489,28.3915,8.53461,9.49,11.9554
160505,16:00,11.4688,10.0,25.5425,10.3832,6.0,3.66222,9.92743,13.4183,3.9875,2.68327
160506,00:00,27.0984,14.0,31.8141,15.4988,9.0,9.68833,23.6359,11.0132,15.09,27.5292
160506,08:00,21.7026,12.0,53.424,22.598,13.0,8.41222,33.8755,8.77879,20.2,15.7746
160506,16:00,10.7726,16.0,15.2982,12.0536,,2.83028,4.19939,5.21539,6.44725,4.81875
160507,00:00,42.1663,16.0,41.5473,23.5376,18.0,9.68333,19.9688,9.05155,17.84,14.4231
160507,08:00,15.5929,10.0,43.0266,14.8724,10.0,9.71194,22.5927,10.1173,10.39,11.5418
160507,16:00,12.1681,5.0,13.6599,12.68,10.0,7.31056,2.97389,13.1797,4.52106,2.43664
160508,00:00,20.3921,8.0,15.8335,24.9992,23.0,11.5494,14.2837,17.9455,10.99,16.9136
160508,08:00,13.4667,7.0,33.4218,23.5376,13.0,11.8047,16.0784,18.1331,20.0,15.3062
160508,16:00,8.80953,19.0,15.1439,12.68,,10.6361,6.39256,9.92966,5.39586,4.79676
160509,00:00,19.9076,6.0,18.3197,23.7464,,7.7125,15.112,15.5615,9.75,16.3488
160509,08:00,12.4321,10.0,45.2034,22.4936,,15.6317,10.1243,24.9103,15.25,12.9451
160509,16:00,10.337,,22.0112,9.2348,9.0,14.8489,6.90403,16.919,6.53092,4.60912
160510,00:00,15.1482,9.0,43.4868,21.032,26.0,12.5808,19.3161,18.1275,11.85,12.7371
160510,08:00,14.3472,4.0,50.3252,21.1364,23.0,25.9575,14.6309,27.4018,17.04,10.7854
160510,16:00,5.63147,9.0,8.96633,9.548,5.0,21.0961,5.79612,6.06044,7.75231,2.02798
160511,00:00,15.9947,13.0,22.7991,21.4496,16.0,13.1419,16.2852,10.4465,11.36,10.9864
160511,08:00,18.4025,18.0,37.406,26.4608,20.0,30.6364,27.7584,22.5276,17.45,12.1361
160511,16:00,3.74303,17.0,19.4772,9.3392,4.0,7.38028,9.53231,9.61995,7.133,5.72216
160512,00:00,15.4493,14.0,41.8021,24.2684,9.0,2.77667,23.7787,12.1084,12.45,1.0
160512,08:00,11.7587,7.0,49.09,21.554,17.0,5.68861,14.4549,11.2742,12.94,21.4212
160512,16:00,8.12579,6.0,16.9091,11.3228,7.0,4.14639,7.45068,11.1649,8.72667,11.4646
160513,00:00,17.4832,9.0,29.5133,21.554,13.0,6.22111,10.4211,16.6241,10.04,4.57603
160513,08:00,13.3481,14.0,29.8969,21.1364,12.0,9.45361,10.5221,13.734,11.06,5.00371
160513,16:00,11.371,7.0,14.1446,14.3504,12.0,6.23806,7.40995,12.1063,8.67789,3.15514
160514,00:00,15.1257,8.0,21.8088,25.9388,7.0,8.49361,25.608,10.3053,9.39,3.94932
160514,08:00,10.3946,20.0,44.0165,19.466,13.0,6.98583,17.2229,8.98226,10.54,7.9711
160514,16:00,9.23763,6.0,27.3668,10.2788,11.0,7.16472,7.88564,6.93895,8.031,0.25072
160515,00:00,13.2477,8.0,15.339,14.1416,5.0,5.495,12.6166,7.87479,13.95,1.37958
160515,08:00,7.81274,3.0,11.4486,9.548,11.0,3.34194,7.30712,8.03824,8.39,2.57977
160515,16:00,6.09586,2.0,10.5847,8.3996,10.0,6.33222,5.95615,6.93853,7.65822,2.12793
160516,00:00,9.94921,7.0,47.9821,7.7732,10.0,3.13083,14.4056,4.15022,4.08,1.51158
160516,08:00,10.6879,4.0,15.3552,12.3668,10.0,4.20833,9.52503,7.70776,4.25,1.37983
160516,16:00,4.04831,4.0,11.7314,11.7404,6.0,4.69389,5.23384,4.57357,6.77178,1.91264
160517,00:00,9.86775,9.0,49.6999,9.7568,7.0,1.90806,30.925,6.41216,7.09,6.70027
160517,08:00,9.55433,5.0,28.9182,10.3832,12.0,7.53111,11.7722,5.1301,8.29,6.19175
160517,16:00,8.06825,10.0,20.6962,9.2348,16.0,7.18917,5.69281,8.25495,7.20656,8.77591
160518,00:00,12.4704,14.0,37.9871,20.8232,14.0,7.52694,30.323,7.50674,13.4,2.94358
160518,08:00,19.101,13.0,45.306,28.1312,16.0,7.40889,16.3618,14.1831,7.32,5.59294
160518,16:00,13.8364,11.0,27.3254,14.3504,6.0,,14.9992,5.94629,11.2228,7.25066
160519,00:00,24.4349,35.0,74.7261,28.6532,25.0,,30.507,16.2875,9.18,5.02435
160519,08:00,28.2357,11.0,72.8646,18.3176,23.0,,20.6004,19.9203,15.37,20.5345
160519,16:00,13.268,11.0,33.1921,13.5152,10.0,14.6636,14.4223,7.38,17.0369,5.06793
160520,00:00,40.0306,21.0,52.1662,22.598,21.0,19.2992,30.6574,20.4785,17.26,13.0157
160520,08:00,37.6078,21.0,54.8734,34.604,22.0,17.045,29.9468,20.7387,32.22,11.2224
160520,16:00,11.0954,15.0,23.3236,17.6912,11.0,16.165,8.72665,11.4541,22.3021,5.45883
160521,00:00,26.3056,20.0,55.0698,37.1096,25.0,10.5444,26.0845,21.6266,17.05,1.86928
160521,08:00,14.079,23.0,58.0519,27.0872,25.0,7.90194,22.7154,25.0432,17.84,5.46736
160521,16:00,9.37533,7.0,15.1651,13.724,16.0,7.855,9.25668,7.96562,11.5982,2.06077
160522,00:00,40.1846,39.0,54.4988,24.7904,17.0,11.8253,28.5842,16.3758,11.45,9.70859
160522,08:00,20.1399,10.0,72.304,19.988,12.0,14.8389,22.6736,15.6625,21.83,9.33237
160522,16:00,5.91109,10.0,15.469,11.5316,9.0,10.9456,7.42751,10.122,8.46389,3.427
160523,00:00,21.0454,13.0,41.6269,30.2192,16.0,9.05139,17.6827,22.0409,8.59,9.05079
160523,08:00,,16.0,52.0468,21.9716,23.0,16.3825,18.9222,14.7758,17.77,14.499
160523,16:00,11.1766,13.0,16.2823,13.5152,2.0,10.4344,8.62035,10.3858,12.8934,6.36132
160524,00:00,22.8023,14.0,34.551,16.0208,12.0,7.59167,18.8084,8.17341,18.62,21.9881
160524,08:00,8.81096,13.0,55.3744,14.5592,11.0,11.9089,25.1484,11.0901,19.06,17.6412
160524,16:00,11.548,5.0,13.9376,9.548,3.0,7.16778,18.1123,5.91011,12.3191,14.5232
160525,00:00,18.7645,12.0,17.9423,18.944,13.0,6.94417,9.96927,12.166,12.59,23.1945
160525,08:00,13.3448,12.0,46.2839,26.5652,14.0,10.3889,26.7685,12.9972,18.98,30.3062
160525,16:00,16.5463,13.0,22.9716,16.856,6.0,14.1947,14.4256,8.48251,17.5681,7.59798
160526,00:00,20.2586,14.0,27.1643,19.3616,16.0,4.4075,18.6634,11.9521,15.57,14.0262
160526,08:00,17.1714,30.0,30.028,32.4116,16.0,3.31722,14.8167,13.711,14.95,16.0391
160526,16:00,15.2526,17.0,26.301,10.07,6.0,3.9975,22.3039,4.99399,17.7302,11.0977
160527,00:00,25.826,21.0,45.9269,28.9664,7.0,6.96778,29.6192,10.2202,16.26,3.60264
160527,08:00,19.7442,16.0,44.2085,32.2028,7.0,9.22611,30.0658,10.4957,16.18,2.39467
160527,16:00,15.2449,15.0,16.5884,31.0544,3.0,5.77389,10.6121,14.5483,9.075,1.0
160528,00:00,15.5415,13.0,9.69193,22.598,20.0,7.68778,11.081,18.5067,17.45,11.8125
160528,08:00,19.6539,19.0,15.1109,24.8948,16.0,12.0078,9.90469,10.7746,18.67,13.4445
160528,16:00,24.4817,9.0,12.1458,8.9216,4.0,10.9036,10.6591,15.2974,10.3866,9.15959
160529,00:00,16.3143,15.0,30.334,23.7464,18.0,13.0728,14.3044,9.98912,10.43,13.433
160529,08:00,9.51487,17.0,28.4268,14.9768,13.0,7.45278,19.1441,18.3813,16.41,8.15135
160529,16:00,9.24454,13.0,12.4042,10.592,9.0,6.55694,20.9108,9.47411,8.32075,3.19366
160530,00:00,15.0291,13.0,29.8048,16.6472,14.0,8.68139,13.761,,15.46,11.992
160530,08:00,19.401,12.0,31.9414,18.944,15.0,15.1935,12.8664,,12.15,18.269
160530,16:00,17.2947,11.0,16.7512,15.812,18.0,12.3689,10.1579,11.0329,12.0972,6.28083
160531,00:00,15.9233,9.0,22.1408,22.8068,14.0,4.31222,14.9691,14.0928,15.34,11.3008
160531,08:00,16.5453,16.0,49.227,22.076,11.0,11.6231,25.5221,15.34,8.14,18.8007
160531,16:00,17.9326,9.0,32.9804,14.768,12.0,8.56722,16.591,13.0874,10.5509,5.51438
160601,00:00,13.479,,14.3619,21.1364,7.0,7.40611,11.8629,9.83822,12.42,3.46174
160601,08:00,12.125,17.0,20.7442,21.6584,9.0,13.5025,12.4347,13.8182,10.2,8.92991
160601,16:00,2.96101,14.0,11.3076,15.9164,7.0,11.5897,5.40649,10.0872,13.9394,4.72511
160602,00:00,8.10447,7.0,18.5473,16.4384,10.0,4.37972,13.943,8.37048,13.83,6.9245
160602,08:00,18.939,15.0,34.2583,17.1692,23.0,10.3081,9.20907,9.63411,11.35,7.53168
160602,16:00,13.9866,12.0,14.7764,10.3832,7.0,23.1189,9.86562,7.75579,8.61311,6.20809
160603,00:00,8.50301,7.0,27.8568,13.8284,24.0,7.94278,26.426,15.837,10.82,9.52639
160603,08:00,15.7531,7.0,32.1507,14.5592,26.0,16.5678,15.3381,15.3576,19.29,13.1125
160603,16:00,11.097,11.0,21.9711,12.0536,9.0,10.5533,13.4038,7.76038,9.10189,6.45648
160604,00:00,25.206,34.0,27.386,31.8896,16.0,12.3808,18.3757,13.3193,16.67,10.1901
160604,08:00,16.5387,2.0,32.4077,21.8672,13.0,6.70639,11.0479,13.1895,25.25,21.7818
160604,16:00,10.4838,18.0,14.7632,15.3944,6.0,2.53667,12.4562,8.92978,12.3237,8.1609
160605,00:00,33.1859,25.0,45.8768,17.9,9.0,3.08583,28.5842,8.92896,15.92,
160605,08:00,23.5718,2.0,35.1858,9.548,5.0,2.76056,33.7324,5.028,12.93,8.32388
160605,16:00,6.98226,4.0,16.3487,5.2676,1.0,7.475,12.0977,6.21566,4.16261,1.38421
160606,00:00,14.14,4.0,13.1237,5.7896,9.0,0.93528,7.76902,4.65424,10.5,2.75109
160606,08:00,6.05235,2.0,13.4125,9.026,4.0,6.4475,9.10944,6.26444,12.0,8.59675
160606,16:00,4.58979,10.0,8.41552,8.504,5.0,3.05694,4.79709,4.2085,3.22161,2.26439
160607,00:00,13.4569,7.0,12.9824,11.636,6.0,2.48167,9.92116,6.88582,4.4,9.77293
160607,08:00,11.9547,3.0,17.3089,11.5316,11.0,5.89972,10.9739,5.57637,8.6,8.07015
160607,16:00,4.93649,6.0,7.83163,8.0864,5.0,7.61194,7.76302,4.62373,6.02294,3.36455
160608,00:00,20.6297,17.0,19.8494,10.592,19.0,8.29667,13.6291,12.2776,12.9,4.28075
160608,08:00,14.3571,12.0,22.0038,12.8888,5.0,14.0161,13.8759,10.5458,19.79,7.11511
160608,16:00,9.67647,5.0,6.53755,7.0424,4.0,4.67833,14.5886,8.39245,12.3123,0.16539
160609,00:00,10.2707,,31.4096,9.026,9.0,5.13667,10.998,13.2422,15.75,2.85226
160609,08:00,12.4898,15.0,35.949,26.1476,16.0,8.02639,14.527,4.23176,9.36,1.95696
160609,16:00,8.29218,2.0,20.8219,7.6688,2.0,6.2425,7.73159,4.60988,5.96939,1.0
160610,00:00,8.91822,11.0,23.9613,9.9656,17.0,6.46611,18.4624,8.48324,3.55,3.70129
160610,08:00,15.2306,17.0,30.7833,11.114,8.0,10.2425,14.2777,7.48376,12.43,3.02372
160610,16:00,12.4813,1.0,15.6362,15.1856,7.0,16.0719,10.1152,6.0768,12.2626,1.97263
160611,00:00,12.4218,6.0,27.7811,7.5644,,4.44444,10.4586,4.20625,8.67,1.0
160611,08:00,16.2671,2.0,24.1592,5.4764,,5.86972,10.4211,7.32663,9.45,1.50095
160611,16:00,7.27188,6.0,12.3378,4.6412,3.0,5.58694,7.79098,4.9242,3.80106,1.0
160612,00:00,26.7288,7.0,35.3905,16.1252,25.0,7.63806,28.9946,7.98672,11.11,8.13295
160612,08:00,11.6512,2.0,28.2913,7.2512,11.0,4.71806,14.5639,10.0951,6.91,7.0474
160612,16:00,12.1006,4.0,14.4289,5.9984,0.0,6.59333,9.72444,4.20901,2.89506,2.37559
160613,00:00,15.5439,5.0,20.473,9.3392,2.0,2.15806,11.7286,7.52192,5.66,7.06877
160613,08:00,24.2878,14.0,18.8583,9.6524,6.0,8.97889,11.9502,6.40597,11.37,6.34394
160613,16:00,7.04821,13.0,12.841,7.46,4.0,6.55,10.9714,4.63072,7.96444,13.3475
160614,00:00,12.1409,9.0,25.2925,12.7844,8.0,6.6625,15.3793,8.25712,13.16,9.25213
160614,08:00,16.6633,13.0,42.028,15.6032,11.0,11.45,19.2203,10.3348,16.79,8.2574
160614,16:00,7.89715,10.0,27.4763,12.9932,4.0,6.92694,13.2141,10.4528,12.2688,11.4807
160615,00:00,19.3974,7.0,28.867,11.7404,8.0,7.4875,27.0756,10.7666,10.59,9.45132
160615,08:00,23.123,8.0,44.5878,19.1528,10.0,11.2469,26.7827,8.26892,18.06,7.5531
160615,16:00,7.28431,9.0,19.4701,11.4272,7.0,5.6625,,7.61445,12.9782,5.0039
160616,00:00,6.54105,6.0,22.3332,13.202,3.0,6.20806,13.6505,13.2787,13.76,2.5046
160616,08:00,5.7449,8.0,14.8771,14.1416,14.0,9.92306,7.95138,10.5394,9.95,8.50908
160616,16:00,2.0399,1.0,11.7236,8.9216,7.0,4.64583,6.38146,7.4871,5.23208,0.76438
160617,00:00,9.11546,15.0,20.1888,12.5756,16.0,9.36694,9.06401,15.2117,4.88,4.59084
160617,08:00,,9.0,21.1099,11.3228,7.0,11.9344,9.68754,15.2988,9.47,7.70168
160617,16:00,7.24468,1.0,6.65256,8.2952,11.0,7.54667,,12.287,9.79389,7.37421
160618,00:00,9.35504,2.0,13.0136,6.5204,10.0,6.8275,6.61294,5.88745,9.02,6.87853
160618,08:00,5.73296,4.0,7.70726,10.3832,8.0,8.82333,6.24265,11.6992,14.69,8.80934
160618,16:00,6.85225,6.0,3.6,9.2348,3.0,4.10278,,9.87645,7.03167,5.61825
160619,00:00,15.6984,12.0,29.7637,24.2684,16.0,9.59639,13.9317,15.1533,11.13,4.14728
160619,08:00,7.97628,9.0,33.4133,14.246,15.0,11.18,10.9955,13.4388,16.92,13.6652
160619,16:00,9.11272,6.0,9.61314,5.6852,23.0,17.9022,4.44361,5.38459,7.05806,5.68269
160620,00:00,5.61403,9.0,7.4253,15.29,19.0,7.17444,10.2514,11.3325,1.7,6.0757
160620,08:00,14.9176,14.0,21.3262,19.0484,15.0,4.77056,14.4999,8.32939,11.08,10.4483
160620,16:00,9.82728,4.0,33.8468,19.7792,11.0,8.47333,8.6191,8.30395,8.77056,7.86492
160621,00:00,18.3696,9.0,29.433,7.6688,5.0,8.32667,15.4363,8.05312,7.45,6.1203
160621,08:00,15.4722,17.0,33.3455,20.3012,4.0,13.38,17.3512,7.42236,14.82,11.6343
160621,16:00,10.7437,14.0,12.9564,11.4272,11.0,6.76389,10.8156,17.5285,10.394,1.0
160622,00:00,17.0007,17.0,27.8462,16.6472,11.0,3.18944,14.0675,18.7055,12.14,3.46345
160622,08:00,14.4422,7.0,31.7862,14.9768,19.0,7.17,17.8564,15.7234,16.01,13.8547
160622,16:00,4.57779,7.0,19.1807,6.938,4.0,14.8828,15.0537,9.60801,7.26267,5.12223
160623,00:00,21.0109,13.0,33.5702,15.29,10.0,14.5906,18.1622,18.9689,12.81,4.03914
160623,08:00,19.1585,11.0,35.7983,17.378,23.0,12.3808,18.0068,16.0988,13.73,18.8274
160623,16:00,10.8105,19.0,26.8414,12.9932,13.0,19.6728,17.6199,14.0178,10.3,8.81149
160624,00:00,26.2283,16.0,30.6014,19.2572,30.0,11.6575,25.4223,18.0135,10.05,13.2697
160624,08:00,27.2933,20.0,37.2173,18.1088,13.0,24.1175,20.9699,22.6083,17.25,14.9546
160624,16:00,15.4371,17.0,21.5688,13.4108,19.0,17.4797,16.528,16.2094,15.3213,8.2997
160625,00:00,30.4479,26.0,27.0958,22.3892,22.0,25.365,22.6252,20.0073,19.24,5.96092
160625,08:00,21.017,35.0,25.9595,19.466,20.0,21.9089,7.01118,21.7827,23.18,12.345
