date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWarsza,PkRzeszRejta,PmGdaWyzwo03,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczLacz04
16/01/17,00:00,37.0064,64.668,136.695,36.9499,94.634,45.6,82.3308,20.7063,150.166,72.9922,57.4535,45.5292
16/01/17,08:00,76.4033,38.04,65.1938,14.5822,94.0076,69.9,51.676,8.93492,83.9911,29.2819,32.1,68.4817
16/01/17,16:00,24.8787,55.792,71.5259,17.3531,102.7772,43.2,58.9937,10.6076,53.9156,34.6819,34.1897,67.3093
16/01/18,00:00,84.0869,58.328,97.4304,57.974,71.666,40.3,95.4302,9.96689,84.4159,40.3647,71.4673,19.2768
16/01/18,08:00,72.4531,62.132,122.31,38.4809,60.2864,39.6,74.6926,8.61347,71.8199,72.1551,39.8,22.6008
16/01/18,16:00,45.0981,72.276,62.2095,33.9572,91.8152,34.4,27.9639,8.23081,49.2078,45.7026,24.0436,21.3074
16/01/19,00:00,82.4946,67.204,161.823,80.2518,101.8376,99.0,222.521,9.47067,67.7395,41.6074,72.8946,38.1452
16/01/19,08:00,178.922,58.328,60.3764,59.2223,,50.6,79.8086,13.5992,90.2216,46.4897,111.656,21.0398
16/01/19,16:00,79.5229,139.48,359.485,43.3787,67.2812,48.0,71.8458,5.67317,84.4561,56.1083,82.1768,28.9531
16/01/20,00:00,74.0848,180.056,123.412,152.027,68.8472,55.0,41.8335,12.6727,188.007,49.1533,78.7023,38.8206
16/01/20,08:00,44.83,,190.483,157.192,84.0896,65.9,33.4154,19.3128,57.4785,82.1282,45.5147,29.4949
16/01/20,16:00,62.2078,98.904,64.7104,55.582,85.5512,60.9,63.011,3.37136,57.6535,81.0521,56.4671,8.10408
16/01/21,00:00,64.2786,57.06,83.2932,48.9747,70.1,69.7,46.577,10.5618,86.9346,10.4747,38.1284,19.0563
16/01/21,08:00,52.2081,27.896,91.5471,22.0975,19.0484,64.5,48.4093,9.31022,46.2158,47.4012,13.2,11.6695
16/01/21,16:00,30.5078,36.772,52.2463,26.3478,41.1812,57.3,26.1591,11.8726,45.0334,45.6229,13.1304,13.2264
16/01/22,00:00,66.4894,44.38,39.5226,57.3173,41.912,43.4,27.9295,9.10008,54.4789,89.7722,25.3768,60.3191
16/01/22,08:00,64.9532,26.628,73.0185,38.9147,36.0656,63.9,31.4979,6.62414,71.4992,15.6531,25.3714,38.8007
16/01/22,16:00,53.5205,46.916,239.005,52.791,43.2692,59.4,27.441,13.2965,90.2901,21.4021,59.174,33.4339
16/01/23,00:00,95.0708,81.152,305.483,129.342,74.5892,34.3,125.228,51.9312,160.877,64.6416,90.6147,57.1094
16/01/23,08:00,70.7013,,288.625,162.271,97.0352,52.5,80.6529,51.986,134.228,73.3918,92.8,44.4676
16/01/23,16:00,44.6271,,366.735,50.7551,93.4856,26.0,26.8155,48.1951,72.52,50.7726,85.6193,58.2696
16/01/24,00:00,41.8032,,176.011,232.418,113.7392,78.5,48.8825,75.708,53.0,85.4947,105.235,91.3007
16/01/24,08:00,30.6802,,67.1495,13.8924,127.1024,32.4,53.1575,48.6471,56.4134,110.625,,9.47465
16/01/24,16:00,40.0259,,86.0376,26.0197,85.5512,99.3,63.9893,1.0,57.2927,81.4246,35.2294,23.2295
16/01/25,00:00,64.6993,,95.6871,44.326,38.258,71.2,57.7625,3.59203,77.2566,16.3633,53.6,28.8362
16/01/25,08:00,25.2862,,104.193,88.9457,46.61,14.1,45.2717,17.346,27.1837,38.4132,27.4,5.81289
16/01/25,16:00,50.2107,59.596,34.2085,25.1684,41.912,35.9,31.325,11.3159,31.7816,34.8794,22.908,9.77314
16/01/26,00:00,27.4866,71.008,61.6438,35.4999,74.4848,35.1,41.3645,52.7444,93.9598,55.3422,39.6352,28.6128
16/01/26,08:00,46.1662,36.772,64.0137,57.3338,35.7524,22.2,30.8377,9.82567,25.865,28.315,24.4042,25.9482
16/01/26,16:00,47.899,35.504,59.2132,30.1392,46.7144,21.7,35.9383,11.6031,48.1541,34.2652,34.6689,17.854
16/01/27,00:00,29.9875,59.596,114.474,48.856,55.0664,36.0,37.6915,10.4952,25.0304,36.6957,56.3363,29.3085
