date,time,DsWrocWybCon,LdLodzGdansk,MpKrakBujaka,MpKrakBulwar,MpZakopaSien,MzWarKondrat,MzWarWokalna,PdBialWaszyn,PkRzeszRejta,PmGdaWyzwo03,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczPils02
160115,08:00,7.93468,14.9,8.18664,5.21622,39.5678,5.9,12.546219,3.6,1.90051,4.482,24.4531,3.67577,4.0026,2.30607
160115,16:00,4.67689,,11.5241,10.9759,15.6788,4.1,5.447396,6.4,3.64569,14.2865,3.37599,3.58942,8.3724,2.32381
160116,00:00,4.51687,9.8,10.8267,7.88878,21.591,3.3,5.648574,5.4,22.1809,5.42026,15.5171,2.12612,2.84649,0.65835
160116,08:00,1.78843,6.2,7.12915,4.60812,20.0357,2.3,25.449752,4.0,10.8668,2.21643,3.64113,1.67116,1.97513,0.03399
160116,16:00,2.02183,28.2,6.73814,2.06708,13.1466,3.8,7.25093,1.9,6.784,4.14284,4.529,3.09089,2.68437,3.04644
160117,00:00,6.57103,19.9,29.9509,3.82563,21.1631,5.9,8.052108,0.7,10.8948,3.89114,38.3331,3.45636,1.97141,1.58122
160117,08:00,12.8627,15.5,10.2556,6.84621,15.8549,6.8,14.853286,4.0,10.9277,2.25318,47.6418,2.68184,4.32356,0.87854
160117,16:00,5.72035,33.6,5.54408,3.55003,10.9532,5.9,11.354464,4.9,9.5437,3.37125,11.2265,3.32303,5.06911,2.57355
160118,00:00,11.7647,16.4,24.4292,12.0628,31.6358,4.6,9.955641,3.8,10.7279,1.58046,18.3895,2.653,4.80383,1.17557
160118,08:00,11.7706,14.6,30.6945,7.41663,23.7728,4.7,8.456819,6.0,10.0501,2.15444,25.3058,4.13196,2.54357,1.41719
160118,16:00,4.61918,22.2,28.1075,8.93874,17.2032,4.5,10.857997,6.9,1.50851,2.87736,8.72841,3.53604,3.07911,4.01143
160119,00:00,6.40935,15.9,45.7024,13.4024,36.1205,5.4,6.059175,4.5,38.4311,1.87839,23.3634,2.83108,4.15137,2.03047
160119,08:00,21.7018,16.3,33.2766,5.03372,42.6129,5.7,11.460353,,19.0841,3.08847,7.49487,8.26003,7.45102,1.36621
160119,16:00,13.8909,28.4,23.9294,10.9759,17.4704,6.0,13.661531,5.2,20.1788,4.17548,21.6553,4.27052,9.53333,7.60464
160120,00:00,11.8672,51.7,16.721,13.8538,50.0492,16.4,17.962709,8.8,12.476,7.00261,56.9778,18.7695,10.2418,4.14443
160120,08:00,6.61151,,17.699,12.2652,58.4272,15.4,17.263886,11.4,11.4491,4.67499,15.8404,12.0425,5.70956,1.85683
160120,16:00,8.38148,26.4,11.8462,8.68383,37.8629,12.6,15.565064,7.1,9.21077,4.17441,18.4797,14.6969,5.26441,2.98585
160121,00:00,8.89633,14.2,17.3521,12.4381,28.2077,12.8,12.566242,8.8,12.5709,1.58817,33.0582,2.71253,3.42999,1.09429
160121,08:00,3.43893,10.0,29.7082,23.6308,14.9547,5.6,10.76742,5.9,24.8121,1.59065,16.103,3.66513,2.67345,0.5
160121,16:00,4.2908,15.3,17.439,12.028,14.5787,3.7,5.568598,2.2,12.8681,2.80071,9.56905,4.17748,2.44976,3.93015
160122,00:00,5.97565,14.1,23.8211,10.2554,27.4553,6.1,8.969776,0.0,7.05847,2.50663,18.2179,4.98907,2.03861,1.24577
160122,08:00,8.92904,13.9,25.5143,15.54,26.5028,5.0,11.070954,5.3,5.90772,1.73633,12.4488,3.65049,2.47544,0.5
160122,16:00,12.2942,24.8,24.346,19.1797,27.5937,4.3,6.972131,4.6,5.96147,3.776,16.5535,3.3354,4.15985,11.1131
160123,00:00,16.9311,20.2,31.3218,12.1655,48.6522,6.1,10.573309,3.4,36.1445,3.2781,41.1537,3.28575,5.85552,7.35877
160123,08:00,11.9264,,30.0523,15.9161,60.9226,32.8,9.674487,3.7,19.0688,5.32301,39.8466,4.95953,12.7616,9.7535
160123,16:00,6.24927,,32.2544,18.0662,28.1146,14.7,18.875665,5.3,13.2705,37.9512,25.0647,7.95822,6.76832,13.3778
160124,00:00,4.10912,,72.0419,29.9291,97.379,15.8,14.976843,3.7,9.2794,11.6342,5.17425,8.33973,5.61125,6.56963
160124,08:00,1.77601,,18.9406,12.8098,36.615,11.6,14.878021,4.4,9.25892,4.98739,21.7522,9.14511,3.2334,3.49216
160124,16:00,3.65021,,21.8039,15.4979,27.8211,8.5,10.979199,7.5,17.6776,5.15402,22.3454,4.83897,3.87158,9.1062
160125,00:00,8.85315,,20.5872,10.8148,30.462,4.1,4.780376,6.3,9.66809,3.31222,13.7343,1.93368,3.33561,7.27306
160125,08:00,3.21949,,29.9587,5.00638,44.1504,9.3,6.981554,6.7,6.96145,3.15382,4.4582,2.17842,3.30915,4.14091
160125,16:00,2.59953,19.6,11.8069,4.02366,22.3884,7.8,6.482732,7.9,4.98804,3.46217,13.4813,2.27305,3.59305,10.1185
160126,00:00,2.59127,13.7,13.6066,6.56248,26.2781,3.5,5.98391,3.9,13.4728,3.68695,15.969,2.79872,2.90708,5.21303
160126,08:00,3.63752,9.8,16.5093,3.87588,30.4013,4.5,4.685088,3.8,11.4618,3.80516,5.76973,2.73928,1.44281,5.07782
160126,16:00,4.78543,17.3,14.2783,9.13603,20.1009,5.5,6.386266,5.6,9.36971,4.62434,12.5167,2.5849,3.96259,10.5101
160127,00:00,3.91423,14.9,20.4998,4.77511,24.2479,7.2,5.987444,3.6,4.52784,2.26044,5.47516,2.35488,4.90349,5.78715
160127,08:00,3.35461,6.6,13.4068,4.88963,15.0813,6.0,6.588621,4.7,5.18564,2.32475,10.9766,2.61186,1.76109,4.70616
160127,16:00,3.9757,20.7,7.62203,5.73197,10.6887,4.3,6.089799,5.0,4.36096,3.45323,7.09457,2.24471,3.38973,6.93612
160128,00:00,2.36298,11.2,16.2098,7.75357,11.3996,5.5,5.790977,3.9,3.71372,2.85571,4.45529,2.34247,3.14062,5.02757
160128,08:00,1.99383,5.6,5.4096,6.36372,8.2802,5.1,6.892155,6.3,5.33114,2.11497,3.48388,1.47571,2.44624,3.97244
160128,16:00,0.9226,8.7,6.9213,3.86406,6.3995,25.9,2.693333,4.8,5.30459,2.22621,6.11592,1.88201,0.85027,3.23059
160129,00:00,1.12592,9.3,14.134,3.35053,12.3065,5.0,2.394511,2.8,6.12747,1.06813,5.56557,1.80368,1.4534,2.57224
160129,08:00,3.38892,7.6,14.9923,2.99301,16.4606,4.4,5.295689,1.8,9.93314,1.12752,9.04374,2.4418,1.86106,3.65398
160129,16:00,3.97364,13.4,5.94617,1.80773,6.7351,6.9,5.196866,4.1,9.40393,1.65065,9.93529,4.28546,2.83709,1.75873
160130,00:00,2.29885,7.3,10.4392,3.8213,16.4616,4.6,5.398044,3.7,5.16957,2.01542,9.63423,2.90212,2.08217,1.29544
160130,08:00,2.05915,6.2,7.8636,3.42378,37.7583,4.2,3.899222,4.7,0.99381,1.97698,7.21081,3.27738,1.59047,2.03212
160130,16:00,2.31781,19.2,3.44156,9.91186,8.5999,7.0,6.5004,7.7,0.24144,2.27516,10.5026,3.70735,2.75066,4.30937
160131,00:00,0.20092,6.1,3.54925,6.58612,10.1938,5.1,7.801578,6.9,4.37339,1.45839,19.3755,2.65152,0.70818,2.45328
160131,08:00,0.0,2.3,2.91537,2.57617,4.92935,18.4,4.102756,6.1,5.61996,1.52548,5.30825,2.15283,0.21539,2.00995
160131,16:00,0.79849,7.3,6.97988,3.33501,5.80944,2.5,4.103934,5.8,3.29479,1.1431,5.73655,2.1382,0.97785,5.83666
160201,00:00,1.66149,5.3,11.822,4.87707,4.31966,2.6,5.705111,3.4,7.61154,1.02557,12.9932,2.07039,1.17171,3.15671
160201,08:00,0.37684,4.6,5.89236,3.39367,4.84659,3.1,3.706289,2.4,3.35657,0.93702,10.9997,1.85108,0.8264,1.88212
160201,16:00,2.79788,26.0,9.99791,8.15728,5.9147,8.3,3.607467,3.5,1.72609,1.60552,9.89378,2.49238,0.66795,3.2668
160202,00:00,3.55963,5.7,9.09703,8.7447,6.03782,2.7,4.408645,3.9,0.19204,1.09994,11.1942,2.6573,1.1115,2.88775
160202,08:00,2.25774,3.9,6.76299,4.62539,3.59435,2.9,2.509823,5.5,1.81431,2.05319,4.7934,2.37192,,2.77101
160202,16:00,2.2698,7.0,3.97288,5.73299,9.5874,2.3,,3.8,3.05572,1.42807,4.87551,2.22375,1.11991,5.15244
160203,00:00,0.86946,3.3,3.66209,17.1193,5.26583,1.8,3.512179,4.6,4.1085,1.12662,6.75958,2.07582,0.42695,2.67052
160203,08:00,1.42633,3.6,4.16826,3.11668,3.39302,2.5,4.013356,4.0,11.0073,1.14624,12.8749,2.27297,0.13232,1.92793
160203,16:00,1.48326,6.9,6.47436,5.08277,2.19362,6.0,4.514534,2.5,10.8577,1.39273,6.67525,1.92208,1.00854,6.2377
160204,00:00,2.49253,,18.4319,12.6268,6.90926,2.3,3.515712,2.2,12.2707,1.03996,19.1544,1.39283,0.76759,3.36416
160204,08:00,0.74837,,7.17594,4.00473,5.86332,3.7,4.41689,1.9,6.05699,0.99164,12.2064,1.65488,0.49454,3.14693
160204,16:00,1.63767,6.3,4.87189,2.50414,4.86995,6.6,1.918068,4.0,1.37154,1.39419,6.46147,1.54837,0.60227,5.37837
160205,00:00,0.7527,6.9,10.6133,4.23378,12.7701,9.1,3.519246,2.5,10.9576,1.10455,19.107,1.57567,0.45482,3.27845
160205,08:00,0.75957,9.8,5.67567,1.87525,6.43862,37.4,3.820424,1.5,6.37343,1.10444,11.8522,1.01777,0.43525,3.06122
160205,16:00,2.37068,8.7,10.1423,3.39219,5.13284,8.7,0.221601,2.3,3.77782,1.73161,8.88184,1.47051,0.64855,5.61629
160206,00:00,2.40119,11.3,10.8671,1.79397,18.3545,6.0,4.122779,2.7,12.1055,1.83827,21.193,2.13923,1.33569,4.46363
160206,08:00,3.725,6.7,9.33323,3.44096,20.6661,4.7,6.823957,2.4,7.08514,1.96049,6.06498,3.4139,0.6681,6.01899
