date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWaszyn,PkRzeszRejta,PmGdaWyzwo03,SlKatoPlebA4,WmOlsPuszkin,WpPoznPolank,ZpSzczPils02
160117,08:00,0.687304,0.573,0.42614,0.61902,0.917,0.748,0.8036,0.211375,0.82109,0.424142,0.3709,0.56896
160117,16:00,0.264233,0.724,0.60205,0.62259,0.84,0.573,0.54021,0.263516,0.38694,0.461553,0.47154,0.6184
160118,00:00,1.10523,0.689,0.88694,1.11733,0.636,0.574,0.79047,0.423004,0.72801,0.50239,0.89244,0.3414
160118,08:00,0.552136,0.733,1.62115,0.88145,0.758,0.976,0.7317,0.61982,0.72964,1.6195,0.53873,0.5129
160118,16:00,0.476943,0.787,0.96388,0.80837,0.893,0.899,0.38102,0.232343,0.38576,0.594655,0.4773,0.48598
160119,00:00,0.834035,0.838,1.4142,1.68439,1.11,0.734,1.9931,0.389892,0.71858,0.407611,1.27799,0.4596
160119,08:00,2.21995,0.996,1.19521,1.20516,,,1.25759,0.587082,1.64166,0.52879,1.1917,0.46434
160119,16:00,0.648444,0.888,1.02043,0.76528,0.873,0.572,0.738,0.316966,1.12339,0.53653,0.52588,0.57108
160120,00:00,0.83017,1.453,1.07654,2.26998,0.681,0.45,0.49213,0.394297,1.38257,0.481837,0.46025,0.45619
160120,08:00,0.50489,,2.436,1.97855,0.872,0.607,1.57805,0.526621,1.09961,0.718503,0.54034,0.61625
160120,16:00,0.547805,0.813,0.73227,1.03962,0.937,0.586,0.60498,0.216375,0.55119,0.765612,0.54778,0.59411
160121,00:00,0.714127,0.634,0.77778,0.99268,0.672,0.588,0.54856,0.169363,0.41548,0.289366,0.45738,0.39449
160121,08:00,0.346799,0.569,1.51471,0.67617,0.454,0.598,0.75292,0.317881,0.39279,1.01794,0.44691,0.47688
160121,16:00,0.443635,0.583,0.76483,0.70635,0.574,0.541,0.41691,0.196688,0.65886,0.661479,0.4236,0.69669
160122,00:00,0.459506,0.624,0.44711,1.02437,0.669,0.433,0.30792,0.227023,0.47544,1.08157,0.44191,0.59552
160122,08:00,0.995167,0.495,0.92817,0.82608,0.467,0.801,0.5284,0.277587,0.90877,0.453753,0.84713,0.6019
160122,16:00,0.545761,0.664,1.02655,0.955,0.569,0.725,0.46389,0.333353,1.33931,0.368205,0.27984,0.43313
160123,00:00,0.905566,1.056,3.05822,2.10135,0.669,0.505,1.90248,0.965653,1.2198,0.653921,0.67837,0.27059
160123,08:00,0.72044,,3.24325,1.9322,1.19,0.537,1.19482,0.857035,1.3651,0.749664,0.72174,0.2607
160123,16:00,0.413862,,2.32666,0.83734,1.106,0.31,0.55719,0.651224,0.88156,0.558096,0.68981,0.57115
160124,00:00,0.541706,,1.85014,2.75066,1.252,0.491,0.65792,1.1729,0.60169,0.676273,0.63635,0.664
160124,08:00,0.26426,,0.75849,0.86487,1.237,0.321,0.53393,0.488586,0.63851,0.860784,0.5981,0.2458
160124,16:00,0.333011,,1.1701,0.86733,0.797,0.867,0.90063,0.21494,0.46916,0.682304,0.50281,0.43731
160125,00:00,0.86738,,0.94111,0.95309,0.471,0.551,0.62585,0.195141,1.27065,0.271685,0.75647,0.24472
